Cz,Fz,Fp1,F7,F3,FC1,C3,FC5,FT9,T7,CP5,CP1,P3,P7,PO9,O1,Pz,Oz,O2,PO10,P8,P4,CP2,CP6,T8,FT10,FC6,C4,FC2,F4,F8,Fp2,timestamp
-0.5901426718547338,-0.6044861524376284,0.0116731517509731,-0.704127565423056,-0.4920271610589757,-0.674677653162432,-0.6099794003204392,-0.5385671778438998,-0.4613565270466159,-0.4256504158083463,-0.5001144426642249,-0.6314946211947811,-0.5530632486457614,-0.2407110704203856,-0.260700389105058,-0.4067292286564427,-0.5918211642633703,-0.4110017547875177,-0.3389791714351106,-0.0568398565651937,-0.3656824597543293,-0.4790569924467838,-0.6252384222171355,-0.5066758220798043,-0.5281910429541463,-0.5439078355077436,-0.4280918593118177,-0.5613031204699774,-0.5257495994506749,-0.2291142137788963,-0.5118638895246811,0.1435111009384302,90.59375
-0.6217288471808953,-0.6362249179827569,-0.0203707942320893,-0.7357137407492177,-0.5237659266041043,-0.7062638284885935,-0.6417181658655677,-0.5703059433890284,-0.4930952925917445,-0.4573891813534748,-0.5320057984283204,-0.6632333867399096,-0.58480201419089,-0.2727550164034481,-0.2927443350881205,-0.4386205844205382,-0.6235599298084988,-0.4428931105516132,-0.3708705271992061,-0.0890363927672232,-0.3975738155184248,-0.5107957579919123,-0.6568245975432971,-0.5384145876249329,-0.5599298084992749,-0.5756466010528721,-0.4599832150759132,-0.593041886015106,-0.5574883649958035,-0.2611581597619589,-0.5436026550698096,0.1110093842984669,90.6015625
-0.5883115892271302,-0.6028076600289918,0.012283512626841,-0.7021438925764855,-0.490501258869306,-0.6728465705348284,-0.6083009079118025,-0.5368886854352632,-0.4598306248569462,-0.4242771038376436,-0.4985885404745552,-0.6298161287861445,-0.5513847562371249,-0.2397955291065839,-0.2596322575722892,-0.40535591668574,-0.5901426718547338,-0.409628442816815,-0.3377584496833749,-0.0560769054703589,-0.3644617380025936,-0.4775310902571141,-0.623407339589532,-0.5051499198901347,-0.5266651407644767,-0.542229343099107,-0.426718547341115,-0.559624628061341,-0.5242236972610053,-0.2280460822461276,-0.5103379873350115,0.1438162813763642,90.609375
-0.555046921492332,-0.5693904020752266,0.012283512626841,-0.6687266346227203,-0.4572365911345079,-0.6392767223620962,-0.5748836499580373,-0.503624017700465,-0.426565957122148,-0.3910124361028454,-0.465323872739757,-0.5963988708323793,-0.5179674982833596,-0.2066834515907526,-0.226520180056458,-0.3722438391699088,-0.5567254139009685,-0.3765163653009838,-0.3044937819485767,-0.0232700083924616,-0.3313496604867624,-0.4442664225223159,-0.5899900816357667,-0.4717326619363695,-0.4932478828107114,-0.5089646753643088,-0.3934538796063168,-0.5262073701075757,-0.4909590295262069,-0.1950865949492633,-0.4769207293812463,0.1738765545128561,90.6171875
-0.580529488059815,-0.5980773632410159,-0.0199130235751884,-0.6926832990005337,-0.4746318760967418,-0.6571297779812311,-0.6003662165255204,-0.5277332722972453,-0.4584573128862436,-0.4229037918669409,-0.4972152285038525,-0.6253910124361025,-0.5431448844129088,-0.2269779507133588,-0.2585641260395205,-0.4015411612115659,-0.5808346684977489,-0.3975738155184248,-0.3185320820935374,-0.0217441062027919,-0.3632410162508579,-0.4709697108415346,-0.6217288471808953,-0.503624017700465,-0.525139238574807,-0.5407034409094373,-0.4253452353704123,-0.5574883649958035,-0.5196459906919964,-0.2271305409323258,-0.5001144426642249,0.1783016708628981,90.625
-0.6122682536049435,-0.6296635385671775,-0.0362401770046535,-0.7242694743266953,-0.5065232318608374,-0.6887159533073927,-0.6321049820706489,-0.5594720378423739,-0.4901960784313721,-0.4547951476310364,-0.528953994048981,-0.6571297779812311,-0.5748836499580373,-0.2590218966964214,-0.290608072022583,-0.4334325169756615,-0.6124208438239106,-0.4294651712825204,-0.3505760280765999,-0.0539406424048214,-0.3951323720149534,-0.5027084763866633,-0.653315022507057,-0.5353627832455936,-0.5568780041199356,-0.5724422064545659,-0.4572365911345079,-0.589227130540932,-0.5513847562371249,-0.2591744869153883,-0.5318532082093534,0.1457999542229347,90.6328125
-0.6440070191500721,-0.661402304112306,-0.068436713206683,-0.7557030594338899,-0.5382619974059659,-0.7203021286335543,-0.6636911573968105,-0.5912108033875024,-0.5220874341954678,-0.486533913176165,-0.5606927595941096,-0.6887159533073927,-0.6066224155031659,-0.2910658426794839,-0.3226520180056454,-0.465323872739757,-0.6441596093690392,-0.4613565270466159,-0.3824673838406954,-0.0861371786068508,-0.4270237277790489,-0.5345998321507588,-0.6849011978332185,-0.5671015487907222,-0.5886167696650642,-0.6041809719996944,-0.4889753566796364,-0.6208133058670935,-0.5831235217822535,-0.2912184328984508,-0.563591973754482,0.1134508278019383,90.640625
-0.6166933699549856,-0.6278324559395739,-0.0925459678034633,-0.7222858014801248,-0.5049973296711677,-0.6884107728694587,-0.6389715419241623,-0.5577935454337374,-0.4886701762417025,-0.4532692454413668,-0.5272755016403445,-0.6583504997329668,-0.5782406347753106,-0.2681773098344392,-0.2895399404898142,-0.4412146181429766,-0.6157778286411838,-0.4383154039826043,-0.3646143282215606,-0.0666056305790794,-0.3937590600442507,-0.5011825741969936,-0.6514839398794534,-0.533836881055924,-0.5551995117112989,-0.5707637140459293,-0.4557106889448382,-0.5875486381322953,-0.5497062638284882,-0.2581063553826196,-0.5303273060196838,0.1296253910124365,90.6484375
-0.5832761120012203,-0.5944151979858088,-0.0595864805065991,-0.6887159533073927,-0.4715800717174025,-0.6548409246967266,-0.6055542839703971,-0.5245288776989392,-0.4554055085069043,-0.4200045777065686,-0.4940108339055463,-0.6249332417792016,-0.5449759670405123,-0.2352178225375749,-0.2564278629739829,-0.4079499504081784,-0.5823605706874185,-0.4050507362478061,-0.3315022507057293,-0.0337987335011821,-0.3606469825284195,-0.4679179064621954,-0.6180666819256881,-0.5004196231021588,-0.5217822537575338,-0.5373464560921641,-0.42244602121004,-0.5541313801785303,-0.51644159609369,-0.2251468680857553,-0.4969100480659186,0.1622796978713669,90.65625
-0.5498588540474553,-0.5611505302510106,-0.0267795834287018,-0.6552986953536274,-0.4383154039826043,-0.6214236667429613,-0.572137026016632,-0.4911116197451739,-0.4221408407721061,-0.3868925001907374,-0.460746166170748,-0.5915159838254364,-0.5115587090867472,-0.2021057450217437,-0.2233157854581517,-0.3748378728923472,-0.5490959029526203,-0.3719386587319749,-0.2983901731898981,-0.0009918364232848,-0.3275349050125883,-0.4346532387273972,-0.5846494239719231,-0.4671549553673605,-0.4885175860227355,-0.504081788357366,-0.3893339436942088,-0.520714122224765,-0.4830243381399248,-0.192034790569924,-0.4636453803311204,0.1949340047302972,90.6640625
