siTimeStamp,x,y,character typing,sentence
2555.0743205,-1,-1,EMPTY_ET_STREAM,MainMenu
2555.090247,-1,-1,EMPTY_ET_STREAM,MainMenu
2555.1069102,-1,-1,EMPTY_ET_STREAM,MainMenu
2555.1244264,-1,-1,EMPTY_ET_STREAM,MainMenu
2555.1403069,-1,-1,EMPTY_ET_STREAM,MainMenu
2555.1568898,-1,-1,EMPTY_ET_STREAM,MainMenu
2555.1743361,-1,-1,EMPTY_ET_STREAM,MainMenu
2555.19033,-1,-1,EMPTY_ET_STREAM,MainMenu
2555.2068844,-1,-1,EMPTY_ET_STREAM,MainMenu
2555.2236656,-1,-1,EMPTY_ET_STREAM,MainMenu
2555.2419591,-1,-1,EMPTY_ET_STREAM,MainMenu
2555.258148,-1,-1,EMPTY_ET_STREAM,MainMenu
2555.2739033,-1,-1,EMPTY_ET_STREAM,MainMenu
2555.290542,-1,-1,EMPTY_ET_STREAM,MainMenu
2555.3068694,-1,-1,EMPTY_ET_STREAM,MainMenu
2555.3235704,-1,-1,EMPTY_ET_STREAM,MainMenu
2555.3402449,-1,-1,EMPTY_ET_STREAM,MainMenu
2555.3568414,-1,-1,EMPTY_ET_STREAM,MainMenu
2555.3736223,-1,-1,EMPTY_ET_STREAM,MainMenu
2555.3902065,-1,-1,EMPTY_ET_STREAM,MainMenu
2555.4068375,-1,-1,EMPTY_ET_STREAM,MainMenu
2555.4237232,-1,-1,EMPTY_ET_STREAM,MainMenu
2555.4401577,-1,-1,EMPTY_ET_STREAM,MainMenu
2555.4568276,-1,-1,EMPTY_ET_STREAM,MainMenu
2555.4734257,-1,-1,EMPTY_ET_STREAM,MainMenu
2555.4901804,-1,-1,EMPTY_ET_STREAM,MainMenu
