TimeStamp,x,y,character typing,sentence
2448.5253856,-1,-1,EMPTY_ET_STREAM,MainMenu
2448.5422862,-1,-1,EMPTY_ET_STREAM,MainMenu
2448.5588881,-1,-1,EMPTY_ET_STREAM,MainMenu
2448.5754891,-1,-1,EMPTY_ET_STREAM,MainMenu
2448.5918904,-1,-1,EMPTY_ET_STREAM,MainMenu
2448.6086402,-1,-1,EMPTY_ET_STREAM,MainMenu
2448.6252921,-1,-1,EMPTY_ET_STREAM,MainMenu
2448.6421176,-1,-1,EMPTY_ET_STREAM,MainMenu
2448.6586134,-1,-1,EMPTY_ET_STREAM,MainMenu
2448.6763191,-1,-1,EMPTY_ET_STREAM,MainMenu
2448.6918964,-1,-1,EMPTY_ET_STREAM,MainMenu
2448.7086372,-1,-1,EMPTY_ET_STREAM,MainMenu
2448.7262627,-1,-1,EMPTY_ET_STREAM,MainMenu
2448.7421539,-1,-1,EMPTY_ET_STREAM,MainMenu
2448.7586649,-1,-1,EMPTY_ET_STREAM,MainMenu
2448.7752526,-1,-1,EMPTY_ET_STREAM,MainMenu
2448.7918165,-1,-1,EMPTY_ET_STREAM,MainMenu
2448.8087008,-1,-1,EMPTY_ET_STREAM,MainMenu
2448.8253347,-1,-1,EMPTY_ET_STREAM,MainMenu
2448.8419286,-1,-1,EMPTY_ET_STREAM,MainMenu
2448.8586428,-1,-1,EMPTY_ET_STREAM,MainMenu
2448.8752005,-1,-1,EMPTY_ET_STREAM,MainMenu
2448.8917797,-1,-1,EMPTY_ET_STREAM,MainMenu
2448.9085818,-1,-1,EMPTY_ET_STREAM,MainMenu
2448.9251742,-1,-1,EMPTY_ET_STREAM,MainMenu
2448.942054,-1,-1,EMPTY_ET_STREAM,MainMenu
2448.9585422,-1,-1,EMPTY_ET_STREAM,MainMenu
2448.9752001,-1,-1,EMPTY_ET_STREAM,MainMenu
2448.9917743,-1,-1,EMPTY_ET_STREAM,MainMenu
2449.0086591,-1,-1,EMPTY_ET_STREAM,MainMenu
2449.0252217,-1,-1,EMPTY_ET_STREAM,MainMenu
2449.0418288,-1,-1,EMPTY_ET_STREAM,MainMenu
2449.058534,-1,-1,EMPTY_ET_STREAM,MainMenu
2449.0751054,-1,-1,EMPTY_ET_STREAM,MainMenu
2449.0917187,-1,-1,EMPTY_ET_STREAM,MainMenu
2449.1084859,-1,-1,EMPTY_ET_STREAM,MainMenu
2449.1251907,-1,-1,EMPTY_ET_STREAM,MainMenu
2449.1417905,-1,-1,EMPTY_ET_STREAM,MainMenu
2449.1587447,-1,-1,EMPTY_ET_STREAM,MainMenu
2449.1751703,-1,-1,EMPTY_ET_STREAM,MainMenu
2449.1916915,-1,-1,EMPTY_ET_STREAM,MainMenu
2449.2084514,-1,-1,EMPTY_ET_STREAM,MainMenu
2449.2251106,-1,-1,EMPTY_ET_STREAM,MainMenu
2449.2417847,-1,-1,EMPTY_ET_STREAM,MainMenu
2449.2584318,-1,-1,EMPTY_ET_STREAM,MainMenu
2449.276126,-1,-1,EMPTY_ET_STREAM,MainMenu
2449.2917151,-1,-1,EMPTY_ET_STREAM,MainMenu
2449.3084363,-1,-1,EMPTY_ET_STREAM,MainMenu
2449.3251239,-1,-1,EMPTY_ET_STREAM,MainMenu
2449.3416873,-1,-1,EMPTY_ET_STREAM,MainMenu
2449.358526,-1,-1,EMPTY_ET_STREAM,MainMenu
2449.3750988,-1,-1,EMPTY_ET_STREAM,MainMenu
2449.3916522,-1,-1,EMPTY_ET_STREAM,MainMenu
2449.4083571,-1,-1,EMPTY_ET_STREAM,MainMenu
2449.4250629,-1,-1,EMPTY_ET_STREAM,MainMenu
2449.4430373,-1,-1,EMPTY_ET_STREAM,MainMenu
2449.4594772,-1,-1,EMPTY_ET_STREAM,MainMenu
2449.4750435,-1,-1,EMPTY_ET_STREAM,MainMenu
2449.4916314,-1,-1,EMPTY_ET_STREAM,MainMenu
2449.5083405,-1,-1,EMPTY_ET_STREAM,MainMenu
2449.52501,-1,-1,EMPTY_ET_STREAM,MainMenu
2449.5416304,-1,-1,EMPTY_ET_STREAM,MainMenu
2449.558431,-1,-1,EMPTY_ET_STREAM,MainMenu
2449.574993,-1,-1,EMPTY_ET_STREAM,MainMenu
2449.5916375,-1,-1,EMPTY_ET_STREAM,MainMenu
2449.6083266,-1,-1,EMPTY_ET_STREAM,MainMenu
2449.6251134,-1,-1,EMPTY_ET_STREAM,MainMenu
2449.6416249,-1,-1,EMPTY_ET_STREAM,MainMenu
2449.6582473,-1,-1,EMPTY_ET_STREAM,MainMenu
2449.6749592,-1,-1,EMPTY_ET_STREAM,MainMenu
2449.6915195,-1,-1,EMPTY_ET_STREAM,MainMenu
2449.7084148,-1,-1,EMPTY_ET_STREAM,MainMenu
2449.7249717,-1,-1,EMPTY_ET_STREAM,MainMenu
2449.741706,-1,-1,EMPTY_ET_STREAM,MainMenu
2449.7583617,-1,-1,EMPTY_ET_STREAM,MainMenu
2449.7751974,-1,-1,EMPTY_ET_STREAM,MainMenu
2449.7914881,-1,-1,EMPTY_ET_STREAM,MainMenu
2449.8083547,-1,-1,EMPTY_ET_STREAM,MainMenu
2449.8249318,-1,-1,EMPTY_ET_STREAM,MainMenu
2449.8416032,-1,-1,EMPTY_ET_STREAM,MainMenu
2449.8582404,-1,-1,EMPTY_ET_STREAM,MainMenu
2449.874888,-1,-1,EMPTY_ET_STREAM,MainMenu
2449.8914679,-1,-1,EMPTY_ET_STREAM,MainMenu
2449.9086481,-1,-1,EMPTY_ET_STREAM,MainMenu
2449.9250624,-1,-1,EMPTY_ET_STREAM,MainMenu
2449.9415832,-1,-1,EMPTY_ET_STREAM,MainMenu
2449.9582208,-1,-1,EMPTY_ET_STREAM,MainMenu
2449.9750909,-1,-1,EMPTY_ET_STREAM,MainMenu
2449.9914709,-1,-1,EMPTY_ET_STREAM,MainMenu
2450.0081483,-1,-1,EMPTY_ET_STREAM,MainMenu
2450.025848,-1,-1,EMPTY_ET_STREAM,MainMenu
2450.0415793,-1,-1,EMPTY_ET_STREAM,MainMenu
2450.0582122,-1,-1,EMPTY_ET_STREAM,MainMenu
2450.0748813,-1,-1,EMPTY_ET_STREAM,MainMenu
2450.0914373,-1,-1,EMPTY_ET_STREAM,MainMenu
2450.1082016,-1,-1,EMPTY_ET_STREAM,MainMenu
2450.1248834,-1,-1,EMPTY_ET_STREAM,MainMenu
2450.1415528,-1,-1,EMPTY_ET_STREAM,MainMenu
